move_number,start_eval,end_eval,delta_eval,move_quality,time_per_move,accuracy_score,blunder_risk,flag1,flag2,flag3,last_elo,phase_Endgame,phase_Middlegame,phase_Opening
31,-3.91,-3.99,-0.08,Perfect,4.8,5.95,0.33,0,0,0,723.59,False,True,False
32,-3.99,-3.91,0.08,Perfect,4.83,5.59,0.34,1,0,0,728.71,False,True,False
33,-3.91,-3.43,0.48,Good,1.75,4.1,0.28,0,0,0,734.78,True,False,False
34,-3.43,-3.43,-0.01,Perfect,2.2,5.49,0.29,0,0,0,735.99,True,False,False
35,-3.43,-3.87,-0.44,Good,1.61,6.0,0.29,1,1,0,740.37,True,False,False
36,-3.87,-5.0,-2.17,Blunder,5.51,2.15,1.81,0,0,0,741.71,True,False,False
37,-5.0,-4.99,0.01,Perfect,2.02,6.0,0.39,0,0,0,732.84,True,False,False
38,-4.99,-4.83,0.16,Perfect,0.92,6.0,0.39,0,0,0,738.44,True,False,False
39,-4.83,-2.93,1.9,Blunder,0.93,4.04,1.39,0,0,0,743.34,True,False,False
40,-2.93,-2.9,0.03,Perfect,1.01,5.26,0.17,0,0,0,733.81,True,False,False
41,-2.9,-2.85,0.05,Perfect,1.21,6.0,0.31,0,0,0,739.36,True,False,False
42,-2.85,-2.84,0.01,Perfect,0.64,5.79,0.37,0,1,0,745.38,True,False,False
43,-2.84,-2.77,0.07,Perfect,0.89,5.24,0.03,0,0,0,749.09,True,False,False
1,-0.44,-0.44,0.0,Perfect,1.63,6.0,0.08,0,0,0,1029.77,False,False,True
2,-0.44,-0.52,-0.07,Perfect,1.02,5.66,0.09,0,0,0,1032.44,False,False,True
3,-0.52,-0.58,-0.07,Perfect,1.46,5.97,0.05,0,0,0,1036.42,False,False,True
4,-0.58,-1.01,-0.42,Good,0.56,4.44,0.37,0,1,0,1039.06,False,False,True
5,-1.01,-0.89,0.11,Perfect,0.53,6.0,0.01,0,0,0,1040.5,False,False,True
6,-0.89,-0.9,-0.01,Perfect,1.21,5.39,0.05,0,0,0,1044.19,False,False,True
7,-0.9,-0.88,0.02,Perfect,0.5,5.65,0.07,1,1,0,1047.98,False,False,True
8,-0.88,-0.88,0.0,Perfect,1.12,6.0,0.14,0,0,0,1050.16,False,False,True
9,-0.88,-0.91,-0.03,Perfect,0.48,5.94,0.19,0,0,0,1052.46,False,False,True
10,-0.91,-0.5,0.41,Good,2.18,5.24,0.35,0,0,0,1055.42,False,False,True
11,-0.5,-0.4,0.1,Perfect,3.96,5.27,0.13,0,0,0,1056.52,False,True,False
12,-0.4,-1.16,-0.77,Inaccuracy,6.03,4.47,0.5,0,0,0,1059.1,False,True,False
13,-1.16,-1.12,0.05,Perfect,4.18,6.0,0.35,1,0,0,1056.65,False,True,False
14,-1.12,-1.07,0.04,Perfect,3.45,6.0,0.09,1,0,0,1060.06,False,True,False
15,-1.07,-0.93,0.14,Perfect,4.0,5.23,0.1,0,0,0,1063.76,True,False,False
16,-0.93,-0.9,0.03,Perfect,2.38,6.0,0.36,0,0,0,1067.07,True,False,False
17,-0.9,-1.29,-0.39,Good,3.12,5.08,0.11,0,0,0,1071.73,True,False,False
18,-1.29,-1.23,0.06,Perfect,1.96,5.58,0.2,0,1,0,1072.95,True,False,False
19,-1.23,-1.26,-0.03,Perfect,1.46,5.4,0.09,1,0,0,1077.55,True,False,False
20,-1.26,-1.19,0.07,Perfect,0.33,5.15,0.19,0,0,0,1082.92,True,False,False
1,0.05,0.07,0.02,Perfect,1.3,5.12,0.23,0,0,0,786.01,False,False,True
2,0.07,0.14,0.07,Perfect,0.86,5.79,0.05,0,0,0,789.89,False,False,True
3,0.14,0.33,0.19,Perfect,1.48,5.41,0.38,0,0,0,793.6,False,False,True
4,0.33,0.37,0.04,Perfect,0.85,6.0,0.17,0,0,0,796.26,False,False,True
5,0.37,0.42,0.06,Perfect,0.95,6.0,0.02,0,0,0,798.3,False,False,True
6,0.42,0.74,0.32,Good,1.3,5.14,0.21,0,0,0,801.62,False,False,True
7,0.74,0.69,-0.06,Perfect,2.08,5.6,0.38,0,0,0,802.97,False,False,True
8,0.69,0.71,0.02,Perfect,1.4,5.54,0.2,0,0,0,806.49,False,False,True
9,0.71,0.69,-0.01,Perfect,0.89,6.0,0.38,0,0,0,808.61,False,False,True
10,0.69,0.88,0.19,Perfect,0.86,5.29,0.34,0,0,0,811.56,False,False,True
11,0.88,1.23,0.35,Good,4.05,5.85,0.33,1,0,0,814.26,False,True,False
12,1.23,3.83,2.6,Blunder,7.0,0.57,2.0,0,0,0,815.07,False,True,False
13,3.83,3.76,-0.07,Perfect,2.9,6.0,0.15,0,0,0,809.57,False,True,False
14,3.76,3.64,-0.12,Perfect,2.8,4.88,0.34,0,0,0,815.94,False,True,False
15,3.64,3.64,0.0,Perfect,3.99,5.99,0.07,0,0,0,819.86,False,True,False
16,3.64,3.54,-0.1,Perfect,1.48,5.99,0.06,0,0,0,824.92,False,True,False
17,3.54,3.87,0.33,Good,1.99,5.4,0.3,0,0,0,829.7,False,True,False
18,3.87,3.91,0.04,Perfect,5.19,5.45,0.21,0,0,0,831.31,False,True,False
19,3.91,5.0,2.12,Blunder,2.31,1.39,1.91,0,0,0,835.09,False,True,False
20,5.0,5.0,0.03,Perfect,3.4,5.61,0.09,0,0,0,824.3,False,True,False
21,5.0,5.0,0.09,Perfect,3.62,5.57,0.02,0,0,0,829.49,False,True,False
22,5.0,3.98,-1.02,Inaccuracy,3.34,3.3,0.74,0,0,0,833.68,False,True,False
23,3.98,2.99,-0.99,Inaccuracy,6.65,4.24,0.61,0,1,0,829.22,False,True,False
24,2.99,3.42,0.43,Good,3.51,5.77,0.07,1,1,0,825.59,True,False,False
25,3.42,3.43,0.0,Perfect,2.33,5.44,0.14,0,1,0,827.49,True,False,False
26,3.43,3.4,-0.03,Perfect,3.5,5.92,0.25,1,0,0,831.34,True,False,False
27,3.4,5.0,2.59,Blunder,3.47,0.27,2.0,0,1,0,835.13,True,False,False
28,5.0,3.15,-1.85,Blunder,1.12,2.25,1.42,1,0,0,818.97,True,False,False
29,3.15,3.08,-0.08,Perfect,0.5,6.0,0.22,0,0,0,805.28,True,False,False
30,3.08,0.76,-2.32,Blunder,1.14,1.55,1.95,0,0,0,809.16,True,False,False
31,0.76,1.12,0.36,Good,2.91,4.64,0.22,0,0,0,797.81,True,False,False
1,0.11,0.1,-0.01,Perfect,1.96,5.68,0.36,0,0,0,638.77,False,False,True
2,0.1,0.04,-0.06,Perfect,0.83,5.1,0.11,0,0,0,642.21,False,False,True
3,0.04,0.02,-0.03,Perfect,0.37,5.0,0.32,0,0,0,644.61,False,False,True
4,0.02,0.02,0.0,Perfect,1.92,6.0,0.03,0,0,0,647.62,False,False,True
5,0.02,0.11,0.09,Perfect,1.22,6.0,0.23,0,0,1,650.25,False,False,True
6,0.11,0.04,-0.07,Perfect,0.72,6.0,0.02,1,0,0,653.99,False,False,True
7,0.04,0.11,0.06,Perfect,1.72,5.34,0.33,0,0,0,657.8,False,False,True
8,0.11,-0.01,-0.11,Perfect,1.59,6.0,0.03,0,0,0,661.51,False,False,True
9,-0.01,-0.08,-0.07,Perfect,1.42,5.55,0.03,0,1,0,664.82,False,False,True
10,-0.08,-0.15,-0.07,Perfect,0.73,5.34,0.11,0,0,0,666.9,False,False,True
11,-0.15,-0.55,-0.41,Good,2.88,4.66,0.14,0,0,0,669.88,False,True,False
12,-0.55,-0.31,0.25,Good,1.9,6.0,0.31,0,1,0,670.87,False,True,False
13,-0.31,-0.19,0.11,Perfect,2.48,5.31,0.06,0,0,0,672.15,False,True,False
14,-0.19,-0.26,-0.07,Perfect,4.29,6.0,0.06,0,0,0,675.59,False,True,False
15,-0.26,0.45,0.71,Inaccuracy,2.48,3.83,0.54,1,0,0,679.1,False,True,False
16,0.45,0.26,-0.19,Perfect,4.37,5.19,0.18,0,0,0,676.83,False,True,False
17,0.26,-0.35,-0.61,Inaccuracy,3.15,4.9,0.37,0,0,0,680.64,False,True,False
18,-0.35,-0.22,0.13,Perfect,5.55,5.27,0.16,0,0,0,678.9,False,True,False
19,-0.22,-0.32,-0.1,Perfect,2.36,6.0,0.36,0,0,0,682.59,False,True,False
20,-0.32,-0.34,-0.02,Perfect,2.42,5.87,0.24,1,0,0,686.36,False,True,False
21,-0.34,2.07,2.4,Blunder,5.79,1.95,1.95,0,0,0,688.89,False,True,False
22,2.07,0.16,-1.9,Blunder,3.15,2.51,1.47,0,0,0,682.66,False,True,False
23,0.16,2.16,2.0,Blunder,6.57,2.84,1.73,0,0,0,673.72,False,True,False
24,2.16,2.24,0.08,Perfect,4.55,4.7,0.16,0,0,0,669.18,False,True,False
25,2.24,2.37,0.13,Perfect,1.81,5.42,0.14,0,1,0,675.57,False,True,False
26,2.37,2.59,0.22,Good,5.8,5.08,0.25,1,0,0,681.07,False,True,False
27,2.59,2.63,0.04,Perfect,4.33,6.0,0.08,1,0,0,682.35,False,True,False
28,2.63,-0.08,-2.71,Blunder,6.57,1.13,2.0,1,0,0,688.2,False,True,False
29,-0.08,0.09,0.17,Perfect,1.59,5.93,0.24,0,0,0,676.47,False,True,False
30,0.09,0.85,0.76,Inaccuracy,3.98,4.65,0.71,0,0,0,679.35,True,False,False
31,0.85,0.85,0.0,Perfect,3.55,6.0,0.12,0,0,0,674.99,True,False,False
32,0.85,0.38,-0.47,Good,1.88,5.61,0.31,0,0,0,678.52,True,False,False
33,0.38,0.37,-0.02,Perfect,3.03,6.0,0.06,0,0,0,679.88,True,False,False
34,0.37,0.41,0.05,Perfect,0.73,6.0,0.22,0,1,0,683.94,True,False,False
35,0.41,2.08,1.67,Blunder,1.62,2.51,1.43,0,0,0,688.26,True,False,False
36,2.08,2.1,0.02,Perfect,1.4,5.61,0.33,1,0,0,679.18,True,False,False
37,2.1,0.28,-1.82,Blunder,2.68,3.16,1.29,0,0,0,684.57,True,False,False
38,0.28,0.47,0.19,Perfect,0.57,4.73,0.28,0,0,0,671.41,True,False,False
39,0.47,0.45,-0.02,Perfect,2.12,5.48,0.1,0,0,0,677.2,True,False,False
1,-0.12,0.01,0.13,Perfect,2.11,5.85,0.37,1,0,0,1542.6,False,False,True
2,0.01,0.43,0.42,Good,2.38,4.89,0.13,0,0,0,1545.75,False,False,True
3,0.43,0.44,0.01,Perfect,0.69,5.83,0.19,0,0,0,1546.47,False,False,True
4,0.44,0.44,0.01,Perfect,1.35,5.28,0.29,0,0,0,1549.48,False,False,True
5,0.44,0.48,0.04,Perfect,1.93,6.0,0.26,0,0,0,1553.18,False,False,True
6,0.48,0.5,0.02,Perfect,0.94,5.3,0.07,0,0,0,1556.72,False,False,True
7,0.5,0.53,0.03,Perfect,0.47,5.69,0.17,0,0,0,1560.27,False,False,True
8,0.53,0.55,0.03,Perfect,0.86,5.07,0.3,1,0,0,1563.43,False,False,True
9,0.55,-2.14,-2.69,Blunder,2.51,0.0,2.0,0,0,0,1566.04,False,False,True
10,-2.14,-2.16,-0.02,Perfect,1.38,5.37,0.31,1,0,0,1559.08,False,False,True
11,-2.16,-1.51,0.65,Inaccuracy,4.32,4.79,0.6,1,0,0,1564.19,False,True,False
12,-1.51,-0.99,0.52,Inaccuracy,1.7,4.84,0.47,0,0,0,1561.0,False,True,False
13,-0.99,-0.38,0.6,Inaccuracy,5.71,4.87,0.41,0,0,0,1558.18,False,True,False
14,-0.38,-0.44,-0.06,Perfect,4.6,5.95,0.15,0,0,0,1556.03,False,True,False
15,-0.44,-1.07,-0.63,Inaccuracy,2.95,4.71,0.39,0,0,0,1558.61,False,True,False
16,-1.07,-1.04,0.03,Perfect,5.03,6.0,0.27,0,0,0,1556.13,False,True,False
17,-1.04,-1.01,0.03,Perfect,4.87,5.12,0.3,0,0,0,1558.41,False,True,False
18,-1.01,-0.87,0.14,Perfect,2.18,5.37,0.1,0,0,0,1560.93,True,False,False
19,-0.87,-0.88,-0.01,Perfect,3.89,5.26,0.32,0,0,0,1565.32,True,False,False
20,-0.88,-0.86,0.03,Perfect,1.18,6.0,0.33,0,1,0,1570.9,True,False,False
21,-0.86,-0.78,0.08,Perfect,1.02,6.0,0.16,0,0,0,1574.38,True,False,False
22,-0.78,-0.84,-0.06,Perfect,0.67,6.0,0.17,0,1,0,1580.51,True,False,False
23,-0.84,-0.79,0.05,Perfect,0.74,5.07,0.32,0,0,0,1586.24,True,False,False
1,0.75,-1.9,-2.65,Blunder,1.02,0.0,2.0,0,0,0,1847.33,False,False,True
2,-1.9,-1.63,0.27,Good,1.68,5.65,0.3,1,0,0,1841.97,False,False,True
3,-1.63,-1.81,-0.18,Perfect,1.02,4.75,0.15,0,0,0,1843.25,False,False,True
4,-1.81,-1.88,-0.07,Perfect,1.98,6.0,0.27,0,0,0,1845.78,False,False,True
5,-1.88,-1.85,0.03,Perfect,0.64,6.0,0.21,0,0,0,1849.4,False,False,True
6,-1.85,-2.08,-0.23,Good,1.89,6.0,0.08,1,0,0,1852.18,False,False,True
7,-2.08,-2.06,0.03,Perfect,0.59,5.61,0.08,0,0,0,1853.41,False,False,True
8,-2.06,-2.25,-0.19,Perfect,1.44,6.0,0.14,0,0,0,1857.4,False,False,True
9,-2.25,-2.26,-0.01,Perfect,1.02,5.48,0.3,1,0,0,1862.0,False,False,True
10,-2.26,-2.14,0.12,Perfect,1.45,6.0,0.08,0,0,0,1866.18,False,False,True
11,-2.14,0.17,2.32,Blunder,7.0,1.13,2.0,0,0,0,1869.47,False,True,False
12,0.17,1.57,1.4,Blunder,6.07,2.58,1.17,0,0,0,1862.26,False,True,False
13,1.57,4.03,2.46,Blunder,5.07,0.53,2.0,0,0,0,1856.26,False,True,False
14,4.03,4.12,0.09,Perfect,2.38,5.74,0.39,0,1,0,1851.96,False,True,False
15,4.12,4.86,0.74,Inaccuracy,6.0,4.41,0.37,0,0,0,1857.78,False,True,False
16,4.86,4.93,0.06,Perfect,1.24,6.0,0.28,1,0,0,1854.74,False,True,False
17,4.93,5.0,0.35,Good,3.24,5.83,0.32,0,0,0,1859.84,False,True,False
18,5.0,5.0,0.03,Perfect,3.87,5.74,0.2,0,0,0,1862.1,False,True,False
19,5.0,5.0,0.59,Inaccuracy,6.29,5.98,0.44,0,0,0,1866.15,False,True,False
20,5.0,4.6,-0.4,Good,4.63,5.83,0.19,0,1,0,1862.71,False,True,False
21,4.6,4.93,0.33,Good,2.8,5.35,0.19,0,0,0,1864.73,False,True,False
22,4.93,2.71,-2.22,Blunder,7.0,1.06,1.67,0,0,0,1866.02,False,True,False
23,2.71,2.46,-0.25,Good,1.84,5.36,0.33,0,0,0,1854.97,False,True,False
24,2.46,2.15,-0.31,Good,2.48,5.7,0.11,0,0,0,1856.97,False,True,False
25,2.15,2.24,0.08,Perfect,5.24,4.76,0.35,0,0,0,1858.98,False,True,False
26,2.24,2.04,-0.2,Perfect,2.16,5.79,0.16,1,1,0,1863.83,False,True,False
27,2.04,2.4,0.36,Good,5.2,5.61,0.11,0,0,0,1867.73,False,True,False
28,2.4,2.85,0.46,Good,3.11,5.99,0.17,1,0,0,1869.09,False,True,False
29,2.85,2.2,-0.65,Inaccuracy,5.29,3.99,0.41,1,0,0,1870.33,False,True,False
30,2.2,1.85,-0.36,Good,1.78,5.62,0.26,0,0,0,1867.91,False,True,False
31,1.85,-0.94,-2.79,Blunder,7.0,0.83,2.0,0,0,0,1869.24,False,True,False
32,-0.94,-3.68,-2.73,Blunder,6.07,1.17,2.0,0,0,0,1865.1,False,True,False
33,-3.68,-3.26,0.42,Good,3.62,3.9,0.13,0,0,0,1858.46,False,True,False
34,-3.26,-3.14,0.12,Perfect,3.34,6.0,0.24,0,0,0,1859.98,False,True,False
35,-3.14,-2.67,0.47,Good,3.81,5.23,0.46,0,0,0,1863.96,False,True,False
36,-2.67,-2.89,-0.22,Good,1.67,5.76,0.21,0,0,0,1865.05,False,True,False
37,-2.89,-2.81,0.08,Perfect,4.9,6.0,0.38,0,0,0,1865.97,False,True,False
38,-2.81,-2.92,-0.11,Perfect,4.56,6.0,0.1,1,0,0,1869.67,False,True,False
39,-2.92,-2.63,0.29,Good,4.33,4.98,0.39,0,0,0,1874.61,False,True,False
40,-2.63,-5.0,-2.63,Blunder,3.67,1.09,2.0,0,0,0,1876.83,True,False,False
41,-5.0,-4.98,0.02,Perfect,3.98,6.0,0.27,0,0,0,1867.96,True,False,False
42,-4.98,-5.0,-0.02,Perfect,2.87,5.84,0.36,0,0,0,1871.89,True,False,False
43,-5.0,-4.99,0.01,Perfect,2.26,6.0,0.36,0,0,0,1878.04,True,False,False
44,-4.99,-4.96,0.02,Perfect,3.13,5.28,0.35,0,0,0,1881.35,True,False,False
45,-4.96,-4.99,-0.02,Perfect,2.9,5.94,0.15,0,0,0,1885.62,True,False,False
46,-4.99,-4.71,0.27,Good,1.84,6.0,0.4,0,0,0,1890.39,True,False,False
47,-4.71,-4.7,0.01,Perfect,1.08,5.19,0.34,0,0,0,1892.06,True,False,False
48,-4.7,-5.0,-2.76,Blunder,2.88,0.76,2.0,0,0,0,1897.98,True,False,False
49,-5.0,-4.81,0.19,Perfect,2.19,4.98,0.27,1,0,0,1883.97,True,False,False
50,-4.81,-4.8,0.01,Perfect,1.15,6.0,0.03,1,1,0,1887.75,True,False,False
51,-4.8,-4.79,0.01,Perfect,2.28,4.69,0.07,0,0,0,1893.16,True,False,False
52,-4.79,-4.63,0.16,Perfect,1.19,4.77,0.24,0,0,0,1897.9,True,False,False
53,-4.63,-4.65,-0.02,Perfect,0.79,6.0,0.18,0,1,0,1901.98,True,False,False
1,-0.17,-0.36,-0.2,Perfect,1.22,6.0,0.3,1,0,0,404.71,False,False,True
2,-0.36,-0.43,-0.07,Perfect,1.25,5.73,0.23,0,0,0,408.6,False,False,True
3,-0.43,-0.5,-0.07,Perfect,2.2,6.0,0.2,0,0,0,411.71,False,False,True
4,-0.5,-0.34,0.16,Perfect,1.88,5.54,0.29,0,0,0,415.47,False,False,True
5,-0.34,0.08,0.42,Good,0.54,6.0,0.11,1,0,0,418.67,False,False,True
6,0.08,-0.14,-0.21,Good,0.69,6.0,0.29,0,0,0,419.24,False,False,True
7,-0.14,-0.26,-0.12,Perfect,1.03,5.88,0.19,0,0,0,420.0,False,False,True
8,-0.26,-0.93,-0.67,Inaccuracy,1.96,4.87,0.44,0,0,0,422.5,False,False,True
9,-0.93,-0.93,-0.01,Perfect,1.67,5.89,0.24,0,0,0,420.11,False,False,True
10,-0.93,-0.93,-0.0,Perfect,1.92,6.0,0.27,0,0,0,423.57,False,False,True
11,-0.93,-3.61,-2.67,Blunder,7.0,0.54,2.0,0,0,0,427.2,False,True,False
12,-3.61,-3.44,0.17,Perfect,5.65,6.0,0.35,0,0,0,419.38,False,True,False
13,-3.44,-2.93,0.51,Inaccuracy,4.74,3.99,0.26,0,0,0,424.62,False,True,False
14,-2.93,-5.0,-2.28,Blunder,6.57,0.93,1.88,1,0,0,421.55,False,True,False
15,-5.0,-5.0,-0.49,Good,2.52,5.69,0.31,0,0,0,413.87,True,False,False
16,-5.0,-4.92,0.08,Perfect,3.82,5.45,0.35,0,0,0,415.84,True,False,False
17,-4.92,-4.42,0.5,Good,4.44,4.78,0.2,0,0,0,421.57,True,False,False
18,-4.42,-2.28,2.14,Blunder,3.13,1.47,1.81,0,1,0,423.75,True,False,False
19,-2.28,-2.34,-0.06,Perfect,1.21,6.0,0.38,0,0,0,412.84,True,False,False
20,-2.34,-2.91,-0.56,Inaccuracy,0.52,4.85,0.18,0,0,0,417.16,True,False,False
1,-0.51,-0.94,-0.43,Good,2.18,5.77,0.22,0,0,0,1216.18,False,False,True
2,-0.94,-1.22,-0.28,Good,1.99,5.42,0.2,0,1,0,1217.55,False,False,True
3,-1.22,-1.08,0.13,Perfect,0.8,6.0,0.29,0,0,1,1218.95,False,False,True
4,-1.08,-1.13,-0.04,Perfect,0.93,6.0,0.21,1,1,0,1222.21,False,False,True
5,-1.13,-1.13,-0.0,Perfect,0.47,5.89,0.25,0,0,0,1225.33,False,False,True
6,-1.13,-1.11,0.02,Perfect,0.64,6.0,0.31,0,0,0,1229.11,False,False,True
7,-1.11,-2.73,-1.63,Blunder,0.85,2.89,1.27,0,0,0,1233.01,False,False,True
8,-2.73,-2.68,0.06,Perfect,0.72,5.65,0.12,0,0,0,1226.51,False,False,True
9,-2.68,-2.6,0.08,Perfect,1.41,5.58,0.01,0,0,0,1232.42,False,False,True
10,-2.6,-2.31,0.3,Good,1.09,4.37,0.39,0,0,0,1237.74,False,False,True
11,-2.31,-2.5,-0.19,Perfect,2.68,5.2,0.15,0,0,0,1238.72,False,True,False
12,-2.5,-2.48,0.02,Perfect,4.8,5.54,0.11,0,0,0,1243.96,False,True,False
13,-2.48,-4.67,-2.19,Blunder,7.0,2.56,1.7,1,0,0,1248.75,False,True,False
14,-4.67,-4.72,-0.04,Perfect,4.33,6.0,0.39,1,0,0,1237.77,False,True,False
15,-4.72,-4.73,-0.02,Perfect,3.13,6.0,0.32,0,0,0,1244.01,False,True,False
16,-4.73,-5.0,-0.8,Inaccuracy,2.85,4.48,0.51,0,0,0,1248.19,False,True,False
17,-5.0,-5.0,-0.01,Perfect,4.64,6.0,0.24,0,0,0,1244.65,False,True,False
18,-5.0,-5.0,-0.59,Inaccuracy,5.73,5.09,0.28,0,0,0,1248.01,False,True,False
19,-5.0,-5.0,-0.05,Perfect,5.31,5.58,0.25,0,0,0,1245.28,False,True,False
20,-5.0,-5.0,-0.01,Perfect,5.09,6.0,0.39,0,0,0,1248.65,False,True,False
21,-5.0,-4.27,0.73,Inaccuracy,1.8,3.68,0.66,0,0,0,1254.93,False,True,False
22,-4.27,-4.11,0.15,Perfect,2.41,5.85,0.01,0,0,0,1251.24,False,True,False
23,-4.11,-4.45,-0.34,Good,2.57,4.78,0.34,0,1,0,1255.97,False,True,False
24,-4.45,-4.51,-0.06,Perfect,5.38,5.86,0.04,0,0,0,1257.37,False,True,False
25,-4.51,-4.6,-0.1,Perfect,2.42,5.48,0.12,0,1,0,1262.98,False,True,False
26,-4.6,-4.47,0.14,Perfect,5.09,5.68,0.07,0,0,0,1268.08,False,True,False
27,-4.47,-4.84,-0.37,Good,1.99,5.61,0.21,0,0,0,1272.41,False,True,False
28,-4.84,-4.92,-0.08,Perfect,4.79,5.88,0.31,1,0,0,1273.67,False,True,False
29,-4.92,-4.94,-0.02,Perfect,4.55,6.0,0.06,0,0,0,1278.01,False,True,False
30,-4.94,-4.85,0.09,Perfect,3.83,5.67,0.27,0,0,0,1281.28,False,True,False
31,-4.85,-5.0,-0.96,Inaccuracy,2.04,4.17,0.55,0,0,0,1287.53,False,True,False
32,-5.0,-5.0,-0.99,Inaccuracy,5.3,3.34,0.6,0,0,0,1284.77,False,True,False
33,-5.0,-4.85,0.15,Perfect,2.89,4.78,0.28,0,0,0,1281.68,False,True,False
34,-4.85,-4.74,0.11,Perfect,5.48,5.61,0.3,0,0,0,1285.58,False,True,False
35,-4.74,-4.9,-0.15,Perfect,5.67,6.0,0.29,0,0,0,1291.31,False,True,False
36,-4.9,-4.85,0.05,Perfect,2.57,5.65,0.36,0,0,0,1296.98,False,True,False
37,-4.85,-4.93,-0.08,Perfect,3.67,4.5,0.11,0,0,0,1302.97,False,True,False
38,-4.93,-4.95,-0.02,Perfect,4.11,5.99,0.01,0,0,0,1307.47,False,True,False
39,-4.95,-3.81,1.14,Inaccuracy,1.76,4.49,0.97,0,0,0,1313.26,False,True,False
40,-3.81,-3.85,-0.04,Perfect,1.63,6.0,0.32,0,0,0,1309.56,True,False,False
41,-3.85,-3.91,-0.06,Perfect,2.59,5.51,0.13,0,0,0,1314.51,True,False,False
42,-3.91,-3.76,0.15,Perfect,4.15,4.58,0.02,0,0,0,1320.19,True,False,False
43,-3.76,-4.05,-0.29,Good,3.62,5.15,0.18,0,0,0,1324.2,True,False,False
44,-4.05,-2.72,1.34,Blunder,3.24,3.83,1.22,0,0,0,1325.87,True,False,False
45,-2.72,-2.65,0.06,Perfect,1.82,5.84,0.14,0,0,0,1316.41,True,False,False
46,-2.65,-2.73,-0.07,Perfect,1.66,6.0,0.37,1,0,0,1321.32,True,False,False
47,-2.73,-2.49,0.24,Good,1.63,5.93,0.36,0,0,0,1324.96,True,False,False
48,-2.49,-2.47,0.01,Perfect,1.18,5.39,0.25,0,0,0,1326.34,True,False,False
49,-2.47,-2.32,0.15,Perfect,1.22,4.85,0.06,0,0,0,1331.19,True,False,False
50,-2.32,-2.33,-0.01,Perfect,1.78,5.57,0.14,0,0,0,1334.87,True,False,False
51,-2.33,-0.05,2.28,Blunder,3.34,1.95,2.0,1,0,0,1338.51,True,False,False
52,-0.05,-0.16,-0.11,Perfect,1.79,5.32,0.2,0,0,0,1329.25,True,False,False
53,-0.16,-0.02,0.14,Perfect,1.13,4.8,0.02,0,0,0,1334.19,True,False,False
1,-0.76,-1.03,-0.27,Good,1.38,5.88,0.25,1,0,0,1119.61,False,False,True
2,-1.03,-0.95,0.08,Perfect,0.59,6.0,0.27,0,0,0,1120.44,False,False,True
3,-0.95,-0.9,0.05,Perfect,0.65,5.09,0.05,0,0,0,1123.71,False,False,True
4,-0.9,-0.65,0.25,Good,1.12,5.91,0.09,1,0,0,1126.04,False,False,True
5,-0.65,-0.29,0.36,Good,1.68,4.78,0.35,1,0,0,1127.35,False,False,True
6,-0.29,-0.15,0.14,Perfect,0.55,6.0,0.24,0,0,0,1128.15,False,False,True
7,-0.15,-0.16,-0.01,Perfect,0.98,6.0,0.33,1,0,0,1131.88,False,False,True
8,-0.16,-0.11,0.05,Perfect,1.76,6.0,0.36,0,0,0,1135.81,False,False,True
9,-0.11,0.01,0.11,Perfect,2.06,5.23,0.19,0,0,0,1139.18,False,False,True
10,0.01,0.01,0.0,Perfect,2.06,6.0,0.01,0,0,0,1142.48,False,False,True
11,0.01,-2.53,-2.54,Blunder,7.0,1.64,2.0,0,0,0,1145.19,False,True,False
12,-2.53,-2.58,-0.06,Perfect,3.16,6.0,0.39,0,0,0,1140.81,False,True,False
13,-2.58,-2.71,-0.13,Perfect,2.97,5.75,0.19,0,0,0,1145.88,False,True,False
14,-2.71,-0.79,1.92,Blunder,5.47,1.83,1.68,0,0,0,1149.25,False,True,False
15,-0.79,-1.66,-0.87,Inaccuracy,3.25,4.01,0.69,1,0,0,1140.61,False,True,False
16,-1.66,-1.7,-0.04,Perfect,5.36,5.69,0.14,0,0,0,1138.91,False,True,False
17,-1.7,-1.7,-0.0,Perfect,2.03,6.0,0.04,0,0,0,1141.38,False,True,False
18,-1.7,-1.65,0.05,Perfect,3.1,5.77,0.15,0,0,0,1144.24,False,True,False
19,-1.65,-1.76,-0.1,Perfect,2.34,4.96,0.39,0,0,0,1147.82,False,True,False
20,-1.76,-3.94,-2.18,Blunder,7.0,1.77,1.94,1,0,0,1151.15,False,True,False
21,-3.94,-4.45,-0.51,Inaccuracy,3.33,6.0,0.41,0,0,0,1143.99,False,True,False
22,-4.45,-4.06,0.39,Good,1.47,4.99,0.2,1,0,0,1140.07,False,True,False
23,-4.06,-3.82,0.23,Good,5.09,5.35,0.26,0,0,0,1142.26,False,True,False
24,-3.82,-3.76,0.06,Perfect,5.02,6.0,0.03,0,0,0,1144.47,False,True,False
25,-3.76,-3.75,0.01,Perfect,4.16,5.14,0.34,0,1,0,1148.25,False,True,False
26,-3.75,-5.0,-1.45,Blunder,5.52,3.12,1.14,0,0,0,1153.54,False,True,False
27,-5.0,-5.0,-2.63,Blunder,7.0,1.21,2.0,0,0,0,1141.65,False,True,False
28,-5.0,-5.0,-0.03,Perfect,1.51,6.0,0.08,0,0,0,1133.9,True,False,False
29,-5.0,-4.95,0.05,Perfect,4.25,5.6,0.02,0,0,0,1138.19,True,False,False
